feature,mean_importance,std_importance
reasoning_direction_changes,2.1780177492323674,0.06472012727712108
reasoning_max,1.94683064199481,0.06848935709608829
reasoning_max_rise_pos,1.4192417893277973,0.07515546378884383
reasoning_late_mean,1.0356847087172163,0.0744251673309558
reasoning_peak_pos,0.966667382066241,0.044925781293233234
reasoning_fall_from_peak,0.8987958924128346,0.05704327432337514
reasoning_end_minus_start,0.8733383328204946,0.036736396127904095
reasoning_start,0.8528557851461729,0.049234796533568895
reasoning_min,0.8309445708699249,0.040630434916406395
reasoning_max_drop_pos,0.5936354360921707,0.07240296586878786
reasoning_range,0.5910965076278775,0.04345593333115068
reasoning_max_rise,0.5558082302524849,0.09529153707695218
reasoning_end,0.5342862502439174,0.03837735070099752
reasoning_positive_mass,0.5262507887232083,0.031059724583731536
reasoning_late_minus_early,0.4507567063226082,0.028214963735373348
reasoning_trough_pos,0.4292016337351508,0.04860196908954341
reasoning_monotonicity,0.4011990749042916,0.05692901037457773
reasoning_n_chunks,0.3883175520987181,0.09842231788164449
reasoning_max_drop,0.3481239587094154,0.11815852233495652
reasoning_curvature_abs_mean,0.3229186262017848,0.055470767096325785
reasoning_negative_mass,0.27865058308730595,0.055456630484509724
reasoning_zero_crossings,0.26459662260918926,0.08568064108377511
reasoning_early_mean,0.2508567658188468,0.0397645289422794
reasoning_mid_mean,0.24368503854845125,0.07376684650008554
reasoning_total_variation,0.2434640868696092,0.04106343893401838
reasoning_time_negative,0.21240636635924764,0.04581210490245763
reasoning_time_positive,0.2124063663592425,0.04581210490245754
reasoning_std,0.12377460116407557,0.01744918622107944
reasoning_rebound_from_trough,0.08362320137006811,0.04064753892123021
