feature,mean_importance,std_importance
answer_traj_t01,0.6925567645978067,0.3586241776635621
reasoning_traj_t14,0.6924273433687891,0.19863820277825894
reasoning_traj_t13,0.6439943897235731,0.22617245994278964
answer_total_variation,0.5800483713818998,0.2210616792232154
reasoning_traj_t05,0.4533841928244337,0.1627682893865465
answer_traj_t03,0.43723018840265465,0.2423295321585912
answer_traj_t04,0.4318146139365012,0.16960252733106035
answer_traj_t12,0.42568149594395266,0.1527139828964423
answer_traj_t14,0.4114409412795113,0.19656443847579375
answer_minus_reasoning_mean,0.3973781646640261,0.11255291505143393
reasoning_traj_t12,0.39272303738341563,0.2589865620040042
reasoning_traj_t04,0.3774605101567332,0.08167400127872718
answer_peak_pos,0.3735518763670766,0.16045750764340075
answer_max_rise,0.33768332896949016,0.17506337425986387
answer_direction_changes,0.3266597180913475,0.10530865119909853
answer_traj_t16,0.31701820654780255,0.22049512681249347
reasoning_zero_crossings,0.3061642784595533,0.10535925706245662
answer_traj_t07,0.29987907438925315,0.06639747666453928
answer_traj_t17,0.29574256150036893,0.1613466710055266
answer_traj_t10,0.28890083191036997,0.1606054262646461
answer_max_drop,0.2810485529911043,0.14012613779626856
reasoning_std,0.27841558602841865,0.2558519685341598
reasoning_traj_t01,0.2753279002278689,0.153022040559573
answer_time_negative,0.27448800649858346,0.16828828614921695
answer_max_drop_pos,0.2707427352058744,0.18162948343656993
answer_start,0.26305394362443235,0.13962801669342031
reasoning_monotonicity,0.26127900077398414,0.02667179208525902
reasoning_traj_t15,0.26080718967189953,0.17272555769629402
reasoning_traj_t06,0.25945671076726134,0.20487988893186507
answer_end_minus_reasoning_end,0.25575545899321434,0.139013351855119
answer_std,0.25441304212004534,0.14816990497621718
reasoning_traj_t08,0.2509315805751769,0.13732435004507312
answer_range_minus_reasoning_range,0.24667815265065088,0.10633319602361563
answer_traj_t02,0.24394914221932132,0.17988880292869816
reasoning_traj_t17,0.22630938774186599,0.11259087715334265
reasoning_negative_mass,0.21578738340798784,0.08027211910015322
answer_curvature_abs_mean,0.2142399289789508,0.15788933143618242
reasoning_trough_pos,0.20923893650651118,0.10090922797013395
answer_traj_t11,0.2081708472679063,0.19967808715484509
reasoning_traj_t02,0.20399661506409572,0.12980854160954416
reasoning_traj_t16,0.19580830107428718,0.11799559588968547
reasoning_traj_t18,0.19558024753442652,0.14752641161726138
answer_traj_t09,0.1847271128606947,0.06528100649097149
answer_time_positive,0.18307763796609258,0.12462289617014403
reasoning_max_drop,0.18126816863016298,0.1336344234193436
reasoning_total_variation,0.17976322097050407,0.0750137497677315
answer_traj_t13,0.17816764911544847,0.1678359683390732
answer_traj_t08,0.17735025125401457,0.1535460318189622
answer_zero_crossings,0.17726037296081798,0.09836016752209743
answer_max,0.17354613815550538,0.09634643720985615
answer_end_minus_start,0.16704285768741473,0.07984975329610408
reasoning_late_mean,0.16260125977823808,0.024005019504677382
reasoning_end,0.1564321137342829,0.06538371761322441
reasoning_fall_from_peak,0.15281279125722802,0.03766788644979204
reasoning_direction_changes,0.15241285510855596,0.1463661156179354
answer_traj_t18,0.15069024034047976,0.10215567066585766
answer_fall_from_peak,0.1506314614057058,0.11870945327163508
answer_traj_t05,0.15042135017366398,0.10844779834202334
reasoning_curvature_abs_mean,0.148866793107165,0.09490444906553033
reasoning_traj_t03,0.1483740412674986,0.10224230126623474
reasoning_start,0.1454293109147417,0.11521212369142252
reasoning_peak_pos,0.14245085202088548,0.05706886692622993
reasoning_traj_t11,0.13354189687959758,0.09049923287592691
answer_trough_pos,0.13194073257926026,0.1119601638775868
reasoning_max_rise,0.13153886959649477,0.12914510844519403
answer_end,0.12956770111482105,0.0610776174851782
answer_start_minus_reasoning_end,0.12880050204217305,0.10057318097836325
reasoning_max_rise_pos,0.12594650386091438,0.032163842103411416
reasoning_positive_mass,0.12577003391674862,0.07192163281790283
answer_traj_t15,0.1243243242898521,0.0457842559959831
reasoning_max_drop_pos,0.12099388593873059,0.05589014949574884
reasoning_min,0.12060249580204671,0.09051810044287403
answer_n_chunks,0.11907535629069259,0.055887511496814105
answer_traj_t06,0.11901930257210096,0.10182885517482307
reasoning_early_mean,0.11794144433296819,0.01873145094201961
reasoning_traj_t10,0.11284990834056725,0.003852300447484505
reasoning_traj_t07,0.11267365908683957,0.13992546472553896
answer_rebound_from_trough,0.1091144628341206,0.10507703853545475
reasoning_time_negative,0.10754836471394344,0.038679863061724065
reasoning_time_positive,0.10754836471394344,0.03867986306172407
reasoning_rebound_from_trough,0.10255176985276793,0.04853120666426009
total_n_chunks,0.10194552009770601,0.026557354356468044
reasoning_max,0.10138223429668418,0.0605895181100209
answer_min,0.0962729011490617,0.14703756984102517
answer_positive_mass,0.09450550741594235,0.09932627149877765
answer_negative_mass,0.09268578897296872,0.05940729367926392
answer_mid_mean,0.08457379686293791,0.027830818897582186
reasoning_n_chunks,0.08402652548046989,0.08221009622339474
answer_monotonicity,0.08318413902493163,0.0515714063096844
answer_max_rise_pos,0.07509186015222377,0.0477020923397702
reasoning_end_minus_start,0.06857769001345536,0.05273358684490964
reasoning_range,0.068337892914178,0.10219680844974022
reasoning_traj_t09,0.06271215555839363,0.03612273236968319
answer_range,0.05892115059509986,0.03320132975970204
answer_early_mean,0.057039549461639805,0.03595412702562076
answer_late_mean,0.03867947330295866,0.0339174754449077
reasoning_late_minus_early,0.02879147943139652,0.009718914871502315
reasoning_mid_mean,0.02470670407415724,0.018756126878539302
answer_late_minus_early,0.01117272473902588,0.006642738971809601
