feature,mean_importance,std_importance
reasoning_min,341.5217973446473,91.19536991802576
reasoning_positive_mass,322.0384441736154,72.95819345368176
reasoning_monotonicity,295.8633108319715,46.69511948861535
reasoning_late_mean,270.6535082961433,44.102453109272346
reasoning_early_mean,270.01198744485157,32.97541885506155
reasoning_start,263.8878396699205,40.83067560789457
reasoning_max,263.00537612391634,85.3366641260361
reasoning_mid_mean,259.37076460998503,49.95519659723161
answer_minus_reasoning_mean,255.09878888996317,62.300453218705925
reasoning_range,246.29036610666662,63.5216708598525
reasoning_max_rise,229.85898151388392,82.66689539897725
reasoning_end_minus_start,226.5234975461848,35.8250727916558
reasoning_std,219.91435476560144,25.022459309627177
reasoning_end,211.13575434200465,33.83605163011152
reasoning_negative_mass,209.72568839211016,61.96609569912018
reasoning_max_drop,209.10426109954716,41.72995183984954
answer_range_minus_reasoning_range,207.07265478875487,32.04418503972203
reasoning_late_minus_early,206.3693839982152,30.368500504687347
reasoning_rebound_from_trough,204.25031531890855,73.5740263834161
answer_start_minus_reasoning_end,202.57577451001853,28.90972963816134
reasoning_max_rise_pos,197.15793532580136,45.6494971138951
reasoning_max_drop_pos,193.7867534689605,42.527622842458456
reasoning_trough_pos,184.38880115356295,26.337049769119073
answer_end_minus_reasoning_end,160.19727151170372,73.32174012934551
reasoning_total_variation,157.0001961573027,37.15259554761001
reasoning_fall_from_peak,142.2108845071867,51.18050492628367
reasoning_curvature_abs_mean,137.74494867436587,36.22052422742907
reasoning_peak_pos,103.53680520411581,59.33377490265101
total_n_chunks,99.92516494207084,11.416294906077802
reasoning_time_positive,92.50821406207979,30.808110775072752
answer_max_drop_pos,91.88762736544012,21.29100735388408
reasoning_time_negative,78.76512067727745,34.583357279058234
answer_std,77.4540517449379,29.507952878818564
answer_monotonicity,73.53384731812403,24.57807542071919
answer_peak_pos,73.15339609812945,49.99450260839596
answer_negative_mass,72.55747020300478,36.882198209234566
answer_range,68.62183201462031,30.560322830775316
reasoning_n_chunks,60.875683610886334,17.85338599255925
answer_end,60.65394523888826,24.506801204478553
answer_start,50.98601485490799,37.332192076746125
answer_max_rise_pos,45.48023023884743,26.2292553907332
answer_positive_mass,42.4788277214393,23.456745249653178
answer_end_minus_start,42.185023750457916,25.656085002936994
answer_max_rise,34.64666561800986,16.34433658551133
answer_late_mean,34.1651375467889,23.85077569471265
answer_trough_pos,33.582403318583964,15.511205223348483
answer_max,31.179986623860895,32.455816025605515
answer_rebound_from_trough,30.115490403026342,26.504203401505404
reasoning_zero_crossings,29.87788719981909,11.42933650697099
answer_early_mean,28.80231380108744,18.55418729459414
answer_n_chunks,28.402747501432895,9.384506410782896
reasoning_direction_changes,28.1259961001575,10.753954297613667
answer_min,26.23595677567646,19.920363713168914
answer_fall_from_peak,25.439369852747767,19.104026527338863
answer_mid_mean,24.617493650875986,5.028160244581762
answer_late_minus_early,22.267128592170774,7.71156497780726
answer_curvature_abs_mean,22.185547290556134,8.348959331945515
answer_time_positive,20.534014529921116,15.723008834309743
answer_direction_changes,18.75538723766804,18.866035976106964
answer_total_variation,15.812530210241675,11.690812081939617
answer_time_negative,12.930717309936881,11.520867387033814
answer_max_drop,6.659743588231504,4.110213571509562
answer_zero_crossings,3.8045830255374313,5.6160357465024635
