feature,mean_importance,std_importance
reasoning_n_chunks,0.695511503265622,0.19218756643275098
reasoning_positive_mass,0.577680412950088,0.11877292521493647
reasoning_total_variation,0.484999546859232,0.13365377548332863
reasoning_zero_crossings,0.42017216764510196,0.1562940368034744
reasoning_direction_changes,0.35677028040774184,0.04523667196926737
reasoning_mid_mean,0.273380190209469,0.07290608591885059
reasoning_curvature_abs_mean,0.26022167482922864,0.10353738065295401
reasoning_late_mean,0.2590334567811197,0.04449637379490624
reasoning_peak_pos,0.19249524922923095,0.0838507526359155
reasoning_std,0.18332478390552823,0.09005912536623419
reasoning_negative_mass,0.17925803159687548,0.17816510248949055
reasoning_late_minus_early,0.1729117602423314,0.040147736776260726
reasoning_max_rise,0.17152951608746075,0.12104612210696257
reasoning_monotonicity,0.12959288153940599,0.10887907983449678
reasoning_max_drop,0.12768875906970045,0.09065885667116678
reasoning_trough_pos,0.11689913798046596,0.09611991991893608
reasoning_min,0.11106513363305573,0.06702295622201448
reasoning_start,0.09976794181602695,0.07370614422790832
reasoning_max_drop_pos,0.09701808754103022,0.05694182961616175
reasoning_time_negative,0.09299589513717779,0.04409260900084902
reasoning_end_minus_start,0.07697695678420327,0.031600545397555066
reasoning_max_rise_pos,0.07148856986554894,0.061908525784584674
reasoning_early_mean,0.06577196025006674,0.05178469174361088
reasoning_rebound_from_trough,0.06052566754160169,0.035539287924479836
reasoning_max,0.053990427475866756,0.0432188746741382
reasoning_time_positive,0.053755946055254265,0.03850623661737323
reasoning_fall_from_peak,0.039262722406089655,0.02753735545680905
reasoning_range,0.03273975371581722,0.020186734945113024
reasoning_end,0.026526449101098803,0.03164156653914032
