feature,mean_importance,std_importance
reasoning_monotonicity,0.59203846809689,0.03482544150701126
reasoning_time_negative,0.5452294734575354,0.011255591597384802
reasoning_time_positive,0.5452294734575353,0.01125559159738365
reasoning_fall_from_peak,0.47995366515730176,0.013584458994969283
reasoning_max_rise,0.4503635070436345,0.010140219009705704
reasoning_start,0.41867501927054507,0.005853601471510647
reasoning_peak_pos,0.3697481265992848,0.014489068332832285
reasoning_end_minus_start,0.33749134159164706,0.005154189498614337
reasoning_total_variation,0.32042317825563915,0.00518372088990129
reasoning_max_drop_pos,0.3097254506294655,0.013928789883483755
reasoning_n_chunks,0.2675002487566875,0.009536807333456167
reasoning_positive_mass,0.26591184134322965,0.010637758869404075
reasoning_curvature_abs_mean,0.26127092756173076,0.005776086664116151
reasoning_min,0.206233082151622,0.006476864807174484
reasoning_zero_crossings,0.2020688572694219,0.00658533657989121
reasoning_trough_pos,0.19304239636009649,0.011355234150857145
reasoning_negative_mass,0.16471904940500437,0.005533252710442989
reasoning_std,0.15916793807342208,0.006766113047860982
reasoning_max,0.154810193192088,0.011665444958440558
reasoning_late_minus_early,0.1294210486694704,0.012112624851248588
reasoning_max_drop,0.12535031545036987,0.010898532060739497
reasoning_rebound_from_trough,0.11155000929504755,0.002238009816642747
reasoning_late_mean,0.10872232823565268,0.015046460174852977
reasoning_early_mean,0.10405893947633668,0.00487878320402542
reasoning_direction_changes,0.1037472323750875,0.007341379258634125
reasoning_max_rise_pos,0.08040808630165923,0.006536948000510803
reasoning_end,0.04309252103160806,0.0035347328485711297
reasoning_mid_mean,0.017542332013251317,0.007437290845997237
reasoning_range,0.015256181231545294,0.0035346544524823414
